Indicator,Country,ISO3,Land_Type,Season,Date,Data,Year,Month,Dekad,Unit,Source
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2020-05-11,10.985,2020,5,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2020-05-21,11.303,2020,5,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2020-06-01,21.022,2020,6,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2020-06-11,16.631,2020,6,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2020-06-21,16.697,2020,6,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2020-07-01,16.187,2020,7,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2020-07-11,12.649,2020,7,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2020-07-21,10.926,2020,7,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2020-08-01,9.199,2020,8,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2020-08-11,8.628,2020,8,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2020-08-21,8.983,2020,8,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2020-09-01,8.949,2020,9,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2020-09-11,11.035,2020,9,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2020-09-21,10.82,2020,9,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2020-10-01,9.234,2020,10,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2020-10-11,6.904,2020,10,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2020-10-21,6.545,2020,10,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2020-11-01,7.984,2020,11,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2020-11-11,8.45,2020,11,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2020-11-21,11.917,2020,11,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2020-12-01,13.311,2020,12,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2020-12-11,12.506,2020,12,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2020-12-21,10.84,2020,12,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2021-01-01,6.671,2021,1,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2021-01-11,3.858,2021,1,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2021-01-21,5.661,2021,1,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2021-02-01,2.863,2021,2,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2021-02-11,2.394,2021,2,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2021-02-21,5.107,2021,2,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2021-03-01,5.428,2021,3,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2021-03-11,12.616,2021,3,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2021-03-21,8.19,2021,3,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2021-04-01,26.358,2021,4,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2021-04-11,8.561,2021,4,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2021-04-21,6.819,2021,4,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2021-05-01,4.658,2021,5,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2021-05-11,8.064,2021,5,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2021-06-21,15.018,2021,6,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2021-07-01,18.203,2021,7,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2021-07-11,16.278,2021,7,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2021-07-21,15.999,2021,7,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2021-08-01,9.052,2021,8,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2021-08-11,16.85,2021,8,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2021-08-21,13.133,2021,8,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2021-09-01,9.572,2021,9,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2021-09-11,11.291,2021,9,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2021-09-21,12.341,2021,9,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2021-10-01,5.251,2021,10,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2021-10-11,9.775,2021,10,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2021-10-21,8.017,2021,10,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2021-11-01,7.977,2021,11,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2021-11-11,9.83,2021,11,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2021-11-21,7.113,2021,11,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2021-12-01,10.159,2021,12,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2021-12-11,11.81,2021,12,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2021-12-21,12.876,2021,12,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2022-01-01,10.56,2022,1,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2022-01-11,7.275,2022,1,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2022-01-21,6.839,2022,1,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2022-02-01,3.564,2022,2,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2022-02-11,3.277,2022,2,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2022-02-21,1.84,2022,2,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2022-03-01,2.649,2022,3,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2022-03-11,2.653,2022,3,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2022-03-21,1.771,2022,3,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2022-04-01,0.454,2022,4,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2022-04-11,0.755,2022,4,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2022-04-21,1.181,2022,4,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2022-05-01,0.658,2022,5,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2022-05-11,1.879,2022,5,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2022-05-21,2.62,2022,5,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2022-06-01,5.012,2022,6,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2022-06-11,5.306,2022,6,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2022-06-21,4.052,2022,6,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2022-07-01,2.2,2022,7,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2022-07-11,3.049,2022,7,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2022-07-21,3.658,2022,7,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2022-08-01,3.391,2022,8,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2022-08-11,5.599,2022,8,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1984-01-01,15.789,1984,1,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1984-01-11,10,1984,1,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1984-01-21,5,1984,1,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1984-02-01,5,1984,2,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1984-02-11,10,1984,2,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1984-02-21,10,1984,2,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1984-03-01,5,1984,3,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1984-03-11,5,1984,3,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1984-03-21,0,1984,3,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1984-04-01,0,1984,4,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1984-04-11,0,1984,4,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1984-11-11,0,1984,11,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1984-11-21,0,1984,11,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1984-12-01,0,1984,12,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1984-12-11,0,1984,12,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1984-12-21,0,1984,12,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1985-01-01,0,1985,1,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1985-01-11,0.893,1985,1,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1985-01-21,0,1985,1,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1985-02-01,0,1985,2,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1985-02-11,0,1985,2,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1985-02-21,0,1985,2,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1985-03-01,0,1985,3,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1985-03-11,0,1985,3,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1985-03-21,0.901,1985,3,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1985-04-01,0,1985,4,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1985-04-11,2.439,1985,4,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1985-04-21,0,1985,4,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1985-05-01,0,1985,5,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1985-11-11,10,1985,11,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1985-11-21,2.941,1985,11,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1985-12-01,5.128,1985,12,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1985-12-11,20.652,1985,12,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1985-12-21,33.945,1985,12,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1986-01-01,44.144,1986,1,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1986-01-11,33.036,1986,1,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1986-01-21,35.714,1986,1,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1986-02-01,35.714,1986,2,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1986-02-11,41.071,1986,2,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1986-02-21,47.321,1986,2,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1986-03-01,67.857,1986,3,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1986-03-11,87.5,1986,3,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1986-03-21,90.09,1986,3,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1986-04-01,92.553,1986,4,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1986-04-11,92.683,1986,4,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1986-04-21,100,1986,4,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1986-05-01,100,1986,5,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1986-11-11,0,1986,11,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1986-11-21,0,1986,11,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1986-12-01,0,1986,12,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1986-12-11,0,1986,12,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1986-12-21,0,1986,12,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1987-01-01,0,1987,1,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1987-01-11,0,1987,1,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1987-01-21,0,1987,1,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1987-02-01,0,1987,2,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1987-02-11,0,1987,2,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1987-02-21,0,1987,2,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1987-03-01,0,1987,3,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1987-03-11,0,1987,3,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1987-03-21,0,1987,3,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1987-04-01,0,1987,4,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1987-04-11,0,1987,4,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1987-04-21,0,1987,4,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1987-05-01,0,1987,5,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1987-11-11,0,1987,11,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1987-11-21,0,1987,11,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1987-12-01,0,1987,12,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1987-12-11,0,1987,12,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1987-12-21,0,1987,12,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1988-01-01,0,1988,1,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1988-01-11,0,1988,1,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1988-01-21,0,1988,1,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1988-02-01,0,1988,2,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1988-02-11,0,1988,2,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1988-02-21,0,1988,2,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1988-03-01,0,1988,3,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1988-03-11,0,1988,3,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1988-03-21,0,1988,3,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1988-04-01,0,1988,4,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1988-04-11,0,1988,4,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1988-04-21,0,1988,4,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1988-05-01,0,1988,5,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1988-11-11,0,1988,11,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),WSB,West Bank,Crop Area,Season 1,1988-11-21,0,1988,11,3, % of area with Mean VHI below 35 ,FAO-ASIS
